name,latitude,longitude,stop_number,direction,street
Southbound Evelyne Reese at Geneva,49.82459,-97.06398,51054,Southbound,Evelyne Reese Boulevard
Northbound Desjardins at Myles Robinson,49.83647,-97.06254,50792,Northbound,Desjardins Drive
Northbound Evelyne Reese at Geneva,49.82466,-97.06381,51068,Northbound,Evelyne Reese Boulevard
Northbound Island Shore at Henry Dormer,49.82854,-97.06141,50923,Northbound,Island Shore Boulevard
Southbound Lakewood at Beaverhill,49.84426,-97.07544,50367,Southbound,Lakewood Boulevard
Southbound Island Shore at Brian Monkman,49.82838,-97.06125,50914,Southbound,Island Shore Boulevard
Northbound Island Shore at Waterfront,49.83974,-97.06509,50730,Northbound,Island Shore Boulevard
Eastbound Willowlake at Bluewater,49.8446,-97.08577,50358,Eastbound,Willowlake Crescent
Westbound Willowlake at Bluewater,49.84462,-97.08603,50359,Westbound,Willowlake Crescent
Northbound Lakewood at Beaverhill,49.84449,-97.07535,50368,Northbound,Lakewood Boulevard
Westbound Beaverhill at Lakewood,49.84426,-97.07403,50353,Westbound,Beaverhill Boulevard
Eastbound Beaverhill at Lakewood,49.84422,-97.0736,50352,Eastbound,Beaverhill Boulevard
Eastbound Abinojii Mikanah at Island Shore,49.84054,-97.06491,51018,Eastbound,Abinojii Mikanah
Westbound Abinojii Mikanah at Island Shore,49.84084,-97.06499,51021,Westbound,Abinojii Mikanah
Westbound Beaverhill at Collingwood,49.84469,-97.07141,50349,Westbound,Beaverhill Boulevard
Eastbound Beaverhill at Collingwood,49.84452,-97.07087,50348,Eastbound,Beaverhill Boulevard
Northbound Island Shore at De La Seigneurie,49.82843,-97.05873,50922,Northbound,Island Shore Boulevard
Southbound Island Shore at De La Seigneurie,49.82832,-97.05858,50915,Southbound,Island Shore Boulevard
Eastbound Willowlake at Willow Point,49.84651,-97.08429,50360,Eastbound,Willowlake Crescent
Eastbound Beaverhill at Driftwood,49.84404,-97.06802,50347,Eastbound,Beaverhill Boulevard
Westbound Willowlake at Willow Point,49.84666,-97.0842,50361,Westbound,Willowlake Crescent
Northbound Evelyne Reese at Warde,49.82308,-97.0615,51067,Northbound,Evelyne Reese Boulevard
Southbound Evelyne Reese at Warde,49.82298,-97.06161,51055,Southbound,Evelyne Reese Boulevard
Westbound Beaverhill at Driftwood,49.84418,-97.06805,50346,Westbound,Beaverhill Boulevard
Southbound De La Seigneurie at Dockside,49.82989,-97.0577,50921,Southbound,De La Seigneurie Boulevard
Northbound De La Seigneurie at Pauline Boutal South,49.83004,-97.05721,50916,Northbound,De La Seigneurie Boulevard
Northbound Lakewood at Tamarac,49.84689,-97.07658,50371,Northbound,Lakewood Boulevard
Eastbound Willowlake at Pebble Beach,49.84733,-97.08072,50362,Eastbound,Willowlake Crescent
Southbound Lakewood at Tamarac,49.8473,-97.07695,50372,Southbound,Lakewood Boulevard
Westbound Willowlake at Pebble Beach,49.84759,-97.08019,50363,Westbound,Willowlake Crescent
Eastbound Beaverhill at Baywater,49.84428,-97.06558,50344,Eastbound,Beaverhill Boulevard
Westbound Beaverhill at Baywater,49.84441,-97.06563,50345,Westbound,Beaverhill Boulevard
Eastbound Willowlake at Lakewood,49.84789,-97.07785,50365,Eastbound,Willowlake Crescent
Westbound Willowlake at Lakewood,49.84802,-97.07763,50366,Westbound,Willowlake Crescent
Southbound Desjardins at De La Seigneurie,49.83873,-97.058,51073,Southbound,Desjardins Drive
Southbound De La Seigneurie at Warde,49.82652,-97.05656,51063,Southbound,De La Seigneurie Boulevard
Northbound De La Seigneurie at Warde,49.8267,-97.05635,51059,Northbound,De La Seigneurie Boulevard
Southbound De La Seigneurie at Desjardins,49.83839,-97.05755,50783,Southbound,De La Seigneurie Boulevard
Southbound De La Seigneurie at Langton,49.83083,-97.05519,50920,Southbound,De La Seigneurie Boulevard
Southbound De La Seigneurie at Pynoo,49.83666,-97.05579,50795,Southbound,De La Seigneurie Boulevard
Northbound De La Seigneurie at Lessard,49.83086,-97.05412,50917,Northbound,De La Seigneurie Boulevard
Northbound De La Seigneurie at Pynoo,49.83658,-97.05518,51072,Northbound,De La Seigneurie Boulevard
Northbound De La Seigneurie at Pauline Boutal North,49.8314,-97.05297,50918,Northbound,De La Seigneurie Boulevard
Southbound De La Seigneurie at Pauline Boutal North,49.83163,-97.05297,50919,Southbound,De La Seigneurie Boulevard
Northbound De La Seigneurie at Lakeview,49.83318,-97.05233,57014,Northbound,De La Seigneurie Boulevard
Southbound De La Seigneurie at Island Lakes,49.83368,-97.05267,50595,Southbound,De La Seigneurie Boulevard
Eastbound Sage Creek at Burning Glass,49.83364,-97.04658,50898,Eastbound,Sage Creek Boulevard
Westbound Warde at Lagimodiere,49.82845,-97.04825,51062,Westbound,Warde Avenue
Eastbound Warde at Lagimodiere,49.82828,-97.04842,51060,Eastbound,Warde Avenue
Northbound Burning Glass at Sage Creek,49.83322,-97.04551,50899,Northbound,Burning Glass Road
Westbound Sage Creek at Burning Glass,49.8339,-97.04609,57002,Westbound,Sage Creek Boulevard
Westbound Lafrance at Proulx,49.83224,-97.04402,50896,Westbound,Lafrance Lane
Southbound De La Seigneurie at Cassin,49.8352,-97.05344,50503,Southbound,De La Seigneurie Boulevard
Northbound Burning Glass at Dr. David Friesen,49.83512,-97.04549,50990,Northbound,Burning Glass Road
Southbound Des Hivernants at Ironweed,49.82885,-97.04346,51061,Southbound,Des Hivernants Boulevard
Northbound Des Hivernants at Ironweed,49.82876,-97.04313,50897,Northbound,Des Hivernants Boulevard
Eastbound Dr. David Friesen at Des Hivernants,49.83613,-97.04306,51009,Eastbound,Dr. David Friesen Drive
Northbound Des Hivernants at Cinnamon Teal,49.8259,-97.04425,51048,Northbound,Des Hivernants Boulevard
Northbound De La Seigneurie at Lucerne,49.82502,-97.05454,51058,Northbound,De La Seigneurie Boulevard
Southbound De La Seigneurie at Lucerne,49.82488,-97.05481,51064,Southbound,De La Seigneurie Boulevard
Northbound Des Hivernants at Edward Turner,49.83802,-97.04088,51035,Northbound,Des Hivernants Boulevard
Eastbound Abinojii Mikanah at De La Seigneurie,49.84052,-97.05712,51019,Eastbound,Abinojii Mikanah
Westbound Abinojii Mikanah at De La Seigneurie,49.84083,-97.05719,51020,Westbound,Abinojii Mikanah
Southbound Edward Turner at Sage Creek,49.83368,-97.03257,51039,Southbound,Edward Turner Drive
Eastbound Sage Creek at Charity,49.8318,-97.03173,50992,Eastbound,Sage Creek Boulevard
Eastbound Edward Turner at Snowberry,49.83776,-97.03435,51037,Eastbound,Edward Turner Drive
Southbound Edward Turner at Water Lily,49.83576,-97.03179,51038,Southbound,Edward Turner Drive
Westbound Robert Bockstael at Sage Creek,49.82477,-97.03328,51042,Westbound,Robert Bockstael Drive
Eastbound Capston at Cliffwood,49.84446,-97.05399,50337,Eastbound,Capston Road
Westbound Capston at Cliffwood,49.84459,-97.05405,50338,Westbound,Capston Road
Southbound Sage Creek at Borealis,49.82752,-97.02996,51040,Southbound,Sage Creek Boulevard
Westbound Robert Bockstael at Snowy Owl,49.82212,-97.03475,51043,Westbound,Robert Bockstael Drive
Northbound Newcroft at Shamrock,49.84489,-97.05753,50336,Northbound,Newcroft Road
Southbound Newcroft at Shamrock,49.84487,-97.05782,50335,Southbound,Newcroft Road
Eastbound Shamrock at Cliffwood,49.8457,-97.05958,50333,Eastbound,Shamrock Drive
Westbound Shamrock at Cliffwood,49.84584,-97.06073,50334,Westbound,Shamrock Drive
Eastbound Burmac at Lagimodiere,49.84798,-97.05077,50340,Eastbound,Burmac Road
Westbound Burmac at Lagimodiere,49.8481,-97.05097,50341,Westbound,Burmac Road
Eastbound Shamrock at Beaverhill,49.84572,-97.06372,50332,Eastbound,Shamrock Drive
Westbound Shamrock at Beaverhill,49.84585,-97.06378,50331,Westbound,Shamrock Drive
Northbound Beaverhill at Shamrock,49.8461,-97.06412,50329,Northbound,Beaverhill Boulevard
Southbound Beaverhill at Courtwood,49.84643,-97.06434,50330,Southbound,Beaverhill Boulevard
Eastbound Grant at Oakdale,49.85926,-97.27026,60536,Eastbound,Grant Avenue
Westbound Grant at Oakdale,49.85946,-97.26983,60535,Westbound,Grant Avenue
Eastbound Grant at Haney,49.85909,-97.26585,60534,Eastbound,Grant Avenue
Eastbound Grant at Fairmont,49.85902,-97.27424,60538,Eastbound,Grant Avenue
Westbound Grant at Fairmont,49.85918,-97.27454,60537,Westbound,Grant Avenue
Westbound Grant at Haney,49.8593,-97.2655,60533,Westbound,Grant Avenue
Westbound Eldridge at Oakdale,49.85287,-97.27111,60630,Westbound,Eldridge Avenue
Eastbound Eldridge at Oakdale,49.85276,-97.2716,60631,Eastbound,Eldridge Avenue
Westbound Eldridge at Fairmont,49.85301,-97.27457,60629,Westbound,Eldridge Avenue
Westbound Eldridge at Haney,49.8527,-97.266,61078,Westbound,Eldridge Avenue
Eastbound Roblin at Grant,49.85933,-97.27722,60509,Eastbound,Roblin Boulevard
Eastbound Eldridge at Fairmont,49.85289,-97.27481,60628,Eastbound,Eldridge Avenue
Eastbound Eldridge at Haney,49.85257,-97.26589,61065,Eastbound,Eldridge Avenue
Westbound Roblin at Grant,49.85893,-97.27778,60540,Westbound,Roblin Boulevard
Eastbound Roblin at Marlton South,49.86144,-97.27622,60508,Eastbound,Roblin Boulevard
Westbound Roblin at Marlton South,49.86156,-97.27642,60507,Westbound,Roblin Boulevard
Westbound Grant at Laxdal,49.85908,-97.26048,60531,Westbound,Grant Avenue
Southbound William Clement at Roblin South,49.86346,-97.26739,61086,Southbound,William Clement Parkway
Eastbound Grant at Charleswood Centre (Park & Ride),49.85885,-97.2602,60532,Eastbound,Grant Avenue
Northbound William Clement at Roblin South,49.86361,-97.26691,61087,Northbound,William Clement Parkway
Eastbound Roblin at Shenfield,49.86361,-97.27519,60505,Eastbound,Roblin Boulevard
Westbound Roblin at Shenfield,49.8637,-97.27543,60506,Westbound,Roblin Boulevard
Westbound Eldridge at Buckingham,49.8532,-97.27984,60625,Westbound,Eldridge Avenue
Eastbound Eldridge at Buckingham,49.85307,-97.27972,60624,Eastbound,Eldridge Avenue
Northbound Laxdal at Eldridge,49.85225,-97.26049,60644,Northbound,Laxdal Road
Southbound Laxdal at Eldridge,49.85208,-97.26069,61066,Southbound,Laxdal Road
Eastbound Roblin at Dieppe,49.85757,-97.28285,60545,Eastbound,Roblin Boulevard
Westbound Roblin at Dieppe,49.85784,-97.28316,60546,Westbound,Roblin Boulevard
Eastbound Roblin at Batchelor,49.86551,-97.27429,60503,Eastbound,Roblin Boulevard
Westbound Roblin at Batchelor,49.86569,-97.27448,60502,Westbound,Roblin Boulevard
Westbound Eldridge at Elmhurst,49.85234,-97.25679,60665,Westbound,Eldridge Avenue
Eastbound Roblin at Marlton North,49.86715,-97.27205,60500,Eastbound,Roblin Boulevard
Eastbound Eldridge at Elmhurst,49.8522,-97.25636,61074,Eastbound,Eldridge Avenue
Eastbound Roblin at Oakdale,49.86736,-97.27011,60498,Eastbound,Roblin Boulevard
Westbound Roblin at Marlton North,49.86729,-97.27256,60499,Westbound,Roblin Boulevard
Southbound Laxdal at Beiko,49.84865,-97.26101,61068,Southbound,Laxdal Road
Westbound Grant at Cathcart,49.85885,-97.2543,60527,Westbound,Grant Avenue
Southbound Cathcart at Chalfont,49.85554,-97.25421,60653,Southbound,Cathcart Street
Northbound Laxdal at Beiko,49.84864,-97.26081,60646,Northbound,Laxdal Road
Westbound Roblin at Oakdale,49.86754,-97.2699,60497,Westbound,Roblin Boulevard
Southbound Cathcart at Grant,49.8584,-97.25394,60654,Southbound,Cathcart Street
Northbound Cathcart at Chalfont,49.85495,-97.25406,61076,Northbound,Cathcart Street
Northbound Cathcart at Grant,49.85814,-97.25377,61077,Northbound,Cathcart Street
Eastbound Grant at Cathcart,49.85861,-97.2534,60528,Eastbound,Grant Avenue
Eastbound Roblin at William Clement,49.86772,-97.26603,60494,Eastbound,Roblin Boulevard
Eastbound Eldridge at Harstone,49.85331,-97.28601,60620,Eastbound,Eldridge Avenue
Westbound Eldridge at Harstone,49.85345,-97.28625,61080,Westbound,Eldridge Avenue
Southbound William Clement at Roblin North,49.86802,-97.26592,60448,Southbound,William Clement Parkway
Westbound Roblin at William Clement,49.86799,-97.26537,60493,Westbound,Roblin Boulevard
Northbound William Clement at Roblin,49.86819,-97.26541,60001,Northbound,William Clement Parkway
Westbound Roblin at Lannoo,49.85864,-97.28766,60552,Westbound,Roblin Boulevard
Eastbound Roblin at Pepperloaf,49.85849,-97.28807,60553,Eastbound,Roblin Boulevard
Southbound Elmhurst at Beiko,49.84802,-97.25755,60649,Southbound,Elmhurst Road
Northbound Elmhurst at Beiko South,49.84802,-97.25736,61072,Northbound,Elmhurst Road
Southbound Harstone at Rannock,49.85124,-97.28678,60618,Southbound,Harstone Road
Eastbound Roblin at Princeton,49.86814,-97.26089,60490,Eastbound,Roblin Boulevard
Eastbound Rannock at Harstone,49.85109,-97.28696,60619,Eastbound,Rannock Avenue
Westbound Roblin at Princeton,49.86839,-97.26026,60489,Westbound,Roblin Boulevard
Westbound Roblin at William Marshall,49.85904,-97.28984,60555,Westbound,Roblin Boulevard
Eastbound Roblin at Greenbrier,49.8589,-97.29029,60554,Eastbound,Roblin Boulevard
Westbound Roblin at McLean,49.86856,-97.25804,60487,Westbound,Roblin Boulevard
Eastbound Roblin at McLean,49.86832,-97.25707,60486,Eastbound,Roblin Boulevard
Westbound Rannock at Pepperloaf,49.85108,-97.29023,60617,Westbound,Rannock Avenue
Westbound Roblin at Scotswood,49.85949,-97.29245,60556,Westbound,Roblin Boulevard
Eastbound Rannock at Pepperloaf,49.8509,-97.2907,60616,Eastbound,Rannock Avenue
Eastbound Roblin at Scotswood,49.85936,-97.29295,60557,Eastbound,Roblin Boulevard
Westbound Roblin at Wexford,49.86828,-97.25271,60482,Westbound,Roblin Boulevard
Eastbound Roblin at Wexford,49.86808,-97.25239,60483,Eastbound,Roblin Boulevard
Eastbound Assiniboine at Westwood,49.86539,-97.29172,20513,Eastbound,Assiniboine Avenue
Southbound Westwood at Assiniboine,49.86563,-97.29168,20368,Southbound,Westwood Drive
Eastbound Roblin at Chalfont,49.86793,-97.25003,60481,Eastbound,Roblin Boulevard
Westbound Roblin at Chalfont,49.86813,-97.24982,60480,Westbound,Roblin Boulevard
Eastbound Rannock at Scotswood,49.85046,-97.29504,60812,Eastbound,Rannock Avenue
Westbound Rannock at Scotswood,49.85058,-97.29512,60850,Westbound,Rannock Avenue
Northbound Moray at Portage,49.87417,-97.2629,20458,Northbound,Moray Street
Southbound Moray at Portage,49.87428,-97.26323,20457,Southbound,Moray Street
Eastbound Roblin at Community,49.86011,-97.29707,60561,Eastbound,Roblin Boulevard
Westbound Assiniboine at Carroll,49.8655,-97.29446,20369,Westbound,Assiniboine Avenue
Westbound Grant at Shaftesbury,49.85799,-97.23009,60521,Westbound,Grant Avenue
Eastbound Grant at Shaftesbury,49.85777,-97.22989,60522,Eastbound,Grant Avenue
Westbound West Taylor at Shaftesbury,49.8513,-97.23017,61029,Westbound,West Taylor Boulevard
Eastbound West Taylor at Shaftesbury,49.85108,-97.23001,61030,Eastbound,West Taylor Boulevard
Eastbound Grant at Kelvin,49.85714,-97.22388,60517,Eastbound,Grant Avenue
Westbound Grant at Kelvin,49.85736,-97.22385,60518,Westbound,Grant Avenue
Westbound West Taylor at Holland,49.85068,-97.22642,61028,Westbound,West Taylor Boulevard
Eastbound West Taylor at Holland,49.85053,-97.2263,61031,Eastbound,West Taylor Boulevard
Eastbound Roblin at Zoo,49.86746,-97.24137,60477,Eastbound,Roblin Boulevard
Westbound Zoo at Zoo Loop,49.86788,-97.24132,60475,Westbound,Zoo Loop
Eastbound Corydon at Shaftesbury (Assiniboine Park),49.86697,-97.22889,60472,Eastbound,Corydon Avenue
Westbound Corydon at Shaftesbury,49.8672,-97.22941,60471,Westbound,Corydon Avenue
Westbound Taylor at Park South,49.85021,-97.22143,61027,Westbound,Taylor Avenue
Eastbound Taylor at Park South,49.85009,-97.22144,61032,Eastbound,Taylor Avenue
Eastbound Grant at Portsmouth,49.85732,-97.21751,60514,Eastbound,Grant Avenue
Westbound Grant at Portsmouth,49.85755,-97.2171,60513,Westbound,Grant Avenue
Northbound Portsmouth at Coleraine,49.85285,-97.21751,60842,Northbound,Portsmouth Boulevard
Eastbound Swindon at Ramsgate,49.85443,-97.21643,60843,Eastbound,Swindon Way
Westbound Taylor at Coleraine,49.85019,-97.21866,61026,Westbound,Taylor Avenue
Eastbound Taylor at Coleraine,49.85007,-97.21851,61033,Eastbound,Taylor Avenue
Eastbound Corydon at Park,49.86664,-97.2207,60466,Eastbound,Corydon Avenue
Westbound Corydon at Park,49.86691,-97.22086,60465,Westbound,Corydon Avenue
Northbound Portsmouth at Swindon,49.85192,-97.21674,60841,Northbound,Portsmouth Boulevard
Southbound Swindon at Swindon North,49.85409,-97.21449,60844,Southbound,Swindon Way
Northbound Portsmouth at Taylor,49.8509,-97.2157,60840,Northbound,Portsmouth Boulevard
Southbound Portsmouth at Taylor,49.85065,-97.21582,60847,Southbound,Portsmouth Boulevard
Southbound Swindon at Swindon South,49.8523,-97.21461,60845,Southbound,Swindon Way
Westbound Corydon at Handsart,49.86678,-97.21787,60463,Westbound,Corydon Avenue
Eastbound Corydon at Handsart,49.86645,-97.21678,60462,Eastbound,Corydon Avenue
Eastbound Taylor at Morpeth,49.85055,-97.21293,60848,Eastbound,Taylor Avenue
Eastbound Grant at Kenaston West,49.85716,-97.20758,60424,Eastbound,Grant Avenue
Westbound Grant at Kenaston West,49.85738,-97.20757,67001,Westbound,Grant Avenue
Northbound Kenaston at Grant South,49.85674,-97.20653,60422,Northbound,Kenaston Boulevard
Southbound Kenaston at Grant,49.8579,-97.20673,61041,Southbound,Kenaston Boulevard
Southbound Kenaston at Grant South,49.8562,-97.20688,60423,Southbound,Kenaston Boulevard
Northbound Kenaston at Grant North,49.858,-97.2064,60427,Northbound,Kenaston Boulevard
Eastbound Grant at Kenaston East,49.85705,-97.20483,60408,Eastbound,Grant Avenue
Westbound Grant at Kenaston East,49.85727,-97.20474,60426,Westbound,Grant Avenue
Northbound Kenaston at Boulton North,49.85414,-97.20678,60421,Northbound,Kenaston Boulevard
Southbound Kenaston at Boulton North,49.85404,-97.2071,60420,Southbound,Kenaston Boulevard
Southbound Kenaston at Carpathia South,49.86058,-97.2065,60429,Southbound,Kenaston Boulevard
Northbound Kenaston at Carpathia South,49.86103,-97.20613,60430,Northbound,Kenaston Boulevard
Eastbound Grant at Lanark,49.85681,-97.19909,60404,Eastbound,Grant Avenue
Westbound Grant at Lanark,49.85703,-97.19897,60405,Westbound,Grant Avenue
Northbound Kenaston at Taylor,49.85084,-97.20713,60352,Northbound,Kenaston Boulevard
Southbound Kenaston at Taylor,49.85078,-97.20744,60929,Southbound,Kenaston Boulevard
Westbound Taylor at Kenaston East,49.85042,-97.20654,60417,Westbound,Taylor Avenue
Westbound Taylor at Kenaston West,49.85058,-97.20984,60838,Westbound,Taylor Avenue
Eastbound Taylor at Kenaston West,49.85046,-97.20976,60849,Eastbound,Taylor Avenue
Northbound Kenaston at Corydon,49.86399,-97.20587,60434,Northbound,Kenaston Boulevard
Eastbound Taylor at Kenaston East,49.85024,-97.20649,60416,Eastbound,Taylor Avenue
Eastbound Corydon at Carpathia,49.86399,-97.20463,60691,Eastbound,Corydon Avenue
Eastbound Corydon at Kenaston,49.86417,-97.20679,61089,Eastbound,Corydon Avenue
Westbound Corydon at Kenaston,49.86424,-97.20558,60436,Westbound,Corydon Avenue
Westbound Taylor at Morpeth,49.85067,-97.21261,60839,Westbound,Taylor Avenue
Southbound Kenaston at Corydon,49.8645,-97.20613,60435,Southbound,Kenaston Boulevard
Westbound Corydon at Kenaston,49.86471,-97.20764,60455,Westbound,Corydon Avenue
Eastbound Corydon at Centennial,49.86386,-97.20141,60386,Eastbound,Corydon Avenue
Westbound Corydon at Centennial,49.86407,-97.20111,60385,Westbound,Corydon Avenue
Eastbound Corydon at Lanark,49.86373,-97.19828,60384,Eastbound,Corydon Avenue
Eastbound Taylor at Lanark,49.84994,-97.19939,60413,Eastbound,Taylor Avenue
Westbound Taylor at Lanark,49.8501,-97.1988,60412,Westbound,Taylor Avenue
Southbound Kenaston at Lockston,49.86599,-97.20595,60438,Southbound,Kenaston Boulevard
Northbound Kenaston at Lockston,49.86599,-97.20566,60437,Northbound,Kenaston Boulevard
Westbound Corydon at Lanark,49.86393,-97.19776,60383,Westbound,Corydon Avenue
Eastbound Corydon at Edgeland,49.86623,-97.21096,62053,Eastbound,Corydon Avenue
Westbound Corydon at Edgeland,49.86655,-97.21162,60458,Westbound,Corydon Avenue
Northbound Edgeland at Corydon,49.86682,-97.21115,60931,Northbound,Edgeland Boulevard
Eastbound Corydon at Southport,49.86634,-97.21363,60461,Eastbound,Corydon Avenue
Eastbound Grant at Campbell,49.85655,-97.19148,60400,Eastbound,Grant Avenue
Westbound Grant at Campbell,49.85674,-97.19146,60399,Westbound,Grant Avenue
Westbound Corydon at Southport,49.86665,-97.21433,60460,Westbound,Corydon Avenue
Eastbound Corydon at Lindsay,49.86357,-97.19406,60382,Eastbound,Corydon Avenue
Westbound Corydon at Lindsay,49.86378,-97.19376,60381,Westbound,Corydon Avenue
Westbound Taylor at Campbell,49.84994,-97.19277,60192,Westbound,Taylor Avenue
Eastbound Taylor at Campbell,49.84986,-97.19219,60410,Eastbound,Taylor Avenue
Southbound Kenaston at Tuxedo,49.86929,-97.20567,60441,Southbound,Kenaston Boulevard
Northbound Kenaston at Tuxedo,49.86941,-97.20533,60440,Northbound,Kenaston Boulevard
Eastbound Tuxedo at Kenaston,49.86945,-97.20572,60442,Eastbound,Tuxedo Avenue
Eastbound Tuxedo at Doncaster,49.86954,-97.20789,60453,Eastbound,Tuxedo Avenue
Southbound Edgeland at Tuxedo,49.8694,-97.21108,60932,Southbound,Edgeland Boulevard
Westbound Tuxedo at Kenaston,49.8697,-97.20642,60443,Westbound,Tuxedo Avenue
Westbound Tuxedo at Doncaster,49.86977,-97.2082,60451,Westbound,Tuxedo Avenue
Eastbound Tuxedo at Edgeland,49.86964,-97.21042,60780,Eastbound,Tuxedo Avenue
Westbound Taylor at Brock,49.85017,-97.19013,60174,Westbound,Taylor Avenue
Westbound Corydon at Brock,49.8636,-97.18912,60378,Westbound,Corydon Avenue
Eastbound Taylor at Brock,49.85011,-97.18947,60161,Eastbound,Taylor Avenue
Westbound Grant at Niagara,49.85653,-97.18636,60397,Westbound,Grant Avenue
Eastbound Grant at Niagara,49.85631,-97.18615,60396,Eastbound,Grant Avenue
Eastbound Corydon at Brock,49.86334,-97.18803,60377,Eastbound,Corydon Avenue
Southbound Kenaston at Willow,49.8716,-97.20546,60444,Southbound,Kenaston Boulevard
Westbound Wilkes at Villa Nova,49.84695,-97.19099,60013,Westbound,Wilkes Avenue
Eastbound Wilkes at Brockville,49.84683,-97.19106,60054,Eastbound,Wilkes Avenue
Eastbound Corydon at Niagara,49.86328,-97.18618,60376,Eastbound,Corydon Avenue
Northbound Kenaston at Willow,49.87209,-97.20507,60445,Northbound,Kenaston Boulevard
Westbound Corydon at Niagara,49.86347,-97.18563,60375,Westbound,Corydon Avenue
Westbound Taylor at Ash,49.85071,-97.18474,60173,Westbound,Taylor Avenue
Westbound Grant at Elm,49.85634,-97.18168,60393,Westbound,Grant Avenue
Eastbound Taylor at Ash,49.85079,-97.18325,60162,Eastbound,Taylor Avenue
Eastbound Grant at Elm,49.85614,-97.18057,60392,Eastbound,Grant Avenue
Southbound St James at Academy,49.87453,-97.20193,60928,Southbound,St James Bridge
Eastbound Corydon at Elm,49.8631,-97.18133,60372,Eastbound,Corydon Avenue
Southbound Kenaston at Academy,49.87472,-97.20366,60450,Southbound,Kenaston Boulevard
Northbound Kenaston at Academy,49.87478,-97.20313,60449,Northbound,Kenaston Boulevard
Westbound Academy at Kenaston,49.87454,-97.20111,62050,Westbound,Academy Road
Westbound Corydon at Elm,49.8633,-97.18106,60371,Westbound,Corydon Avenue
Northbound Cambridge at Grant North,49.85644,-97.17541,60301,Northbound,Cambridge Street
Southbound Cambridge at Grant North,49.85636,-97.17561,60990,Southbound,Cambridge Street
Westbound Grant at Cambridge,49.85617,-97.17609,60303,Westbound,Grant Avenue
Eastbound Grant at Cambridge (Park & Ride),49.85595,-97.17568,60290,Eastbound,Grant Avenue
Northbound Cambridge at Grant South,49.8557,-97.17547,60302,Northbound,Cambridge Street
Southbound Cambridge at Grant South,49.85556,-97.17567,60289,Southbound,Cambridge Street
Northbound Cambridge at Fleet,49.85949,-97.17517,60304,Northbound,Cambridge Street
Southbound Cambridge at Fleet,49.85994,-97.17532,60305,Southbound,Cambridge Street
Westbound Grant at Nathaniel,49.85753,-97.17088,60300,Westbound,Grant Avenue
Eastbound Grant at Nathaniel,49.85737,-97.17065,60291,Eastbound,Grant Avenue
Northbound Cambridge at Carter,49.85382,-97.17564,60308,Northbound,Cambridge Street
Southbound Cambridge at Mathers,49.85265,-97.17593,60811,Southbound,Cambridge Street
Northbound Cambridge at Ebby,49.85212,-97.17577,60287,Northbound,Cambridge Street
Westbound Grant at Thurso,49.85858,-97.16775,60299,Westbound,Grant Avenue
Westbound Taylor at Poseidon,49.85193,-97.17332,62070,Westbound,Taylor Avenue
Southbound Cambridge at Taylor,49.85158,-97.17601,60286,Southbound,Cambridge Street
Eastbound Taylor at Poseidon,49.85179,-97.17282,62069,Eastbound,Taylor Avenue
Eastbound Corydon at Cambridge West,49.86291,-97.17524,60306,Eastbound,Corydon Avenue
Eastbound Grant at Thurso,49.85859,-97.16701,60292,Eastbound,Grant Avenue
Westbound Taylor at Waverley,49.85148,-97.17859,60285,Westbound,Taylor Avenue
Westbound Corydon at Cambridge West,49.8631,-97.17557,60309,Westbound,Corydon Avenue
Eastbound Taylor at Waverley,49.85124,-97.17774,60284,Eastbound,Taylor Avenue
Westbound Taylor at Nathaniel,49.85405,-97.16543,60890,Westbound,Taylor Avenue
Eastbound Taylor at Nathaniel,49.85385,-97.1653,60009,Eastbound,Taylor Avenue
Westbound Grant at Wilton,49.85996,-97.16363,60297,Westbound,Grant Avenue
Westbound Taylor at Nathaniel East,49.85498,-97.16266,60818,Westbound,Taylor Avenue
Westbound Corydon at Rockwood,49.86518,-97.17051,60313,Westbound,Corydon Avenue
Eastbound Taylor at Nathaniel East,49.85474,-97.16264,60741,Eastbound,Taylor Avenue
Eastbound Grant at Wilton,49.86012,-97.16245,60294,Eastbound,Grant Avenue
Eastbound Corydon at Rockwood,49.86535,-97.16941,60314,Eastbound,Corydon Avenue
Eastbound Corydon at Wilton,49.86584,-97.16796,60316,Eastbound,Corydon Avenue
Westbound Corydon at Wilton,49.86609,-97.16776,60315,Westbound,Corydon Avenue
Southbound Southwest Transitway at Beaumont Station,49.84861,-97.16625,61203,Southbound,Southwest Transitway
Westbound Taylor at Wilton,49.85604,-97.15948,60808,Westbound,Taylor Avenue
"Southbound Southwest Transitway at Beaumont Station (Routes 641, 677)",49.84876,-97.16577,62015,Southbound,Southwest Transitway
Northbound Southwest Transitway at Beaumont Station (D11),49.84853,-97.16606,62014,Northbound,Southwest Transitway
Northbound Southwest Transitway at Beaumont Station,49.84874,-97.16544,61202,Northbound,Southwest Transitway
Eastbound Taylor at Wilton,49.85597,-97.15896,60790,Eastbound,Taylor Avenue
Eastbound Corydon at Harrow,49.8673,-97.16358,60319,Eastbound,Corydon Avenue
Westbound Corydon at Harrow,49.86749,-97.16354,10125,Westbound,Corydon Avenue
Eastbound Grant at Stafford,49.86201,-97.15675,10785,Eastbound,Grant Avenue
Southbound Stafford at Grant,49.86226,-97.15687,10094,Southbound,Stafford Street
Southbound Stafford at Fleet,49.86523,-97.15927,10098,Southbound,Stafford Street
