name,latitude,longitude,stop_number,direction,street
Southbound Bairdmore at Kirkbridge,49.78038,-97.16954,61016,Southbound,Bairdmore Boulevard
Northbound Bairdmore at Kirkbridge,49.7803,-97.1693,61017,Northbound,Bairdmore Boulevard
Westbound Tim Sale at Waterstone,49.77582,-97.17694,61248,Westbound,Tim Sale Drive
Eastbound Tim Sale at Stan Bailie (South),49.7757,-97.17648,61247,Eastbound,Tim Sale Drive
Southbound Bairdmore at Millstream,49.77851,-97.16887,60895,Southbound,Bairdmore Boulevard
Southbound Tim Sale at Northern Lights,49.77608,-97.1798,61245,Southbound,Tim Sale Drive
Northbound Bairdmore at Millstream,49.77851,-97.16866,60804,Northbound,Bairdmore Boulevard
Northbound Bairdmore at Bernfield North,49.7837,-97.17041,61018,Northbound,Bairdmore Boulevard
Southbound Bairdmore at Bernfield North,49.78397,-97.17058,61015,Southbound,Bairdmore Boulevard
Eastbound Kirkbridge at Brentlawn,49.78109,-97.1661,62001,Eastbound,Kirkbridge Drive
Southbound Bairdmore at Point West,49.77711,-97.16685,60896,Southbound,Bairdmore Boulevard
Northbound Bairdmore at Point West,49.77721,-97.1664,60803,Northbound,Bairdmore Boulevard
Northbound Brentlawn at Kirkbridge,49.78089,-97.16514,60898,Northbound,Brentlawn Boulevard
Southbound Bairdmore at Hawstead,49.78586,-97.1699,61014,Southbound,Bairdmore Boulevard
Northbound Bairdmore at Hawstead,49.78608,-97.16976,61019,Northbound,Bairdmore Boulevard
Westbound Kirkbridge at Brentlawn South,49.78142,-97.1647,60893,Westbound,Kirkbridge Drive
Eastbound John Angus at Gelley,49.78762,-97.17886,61178,Eastbound,John Angus Drive
Northbound Bairdmore at Brentlawn,49.77844,-97.1637,60738,Northbound,Bairdmore Boulevard
Westbound John Angus at Shipley,49.78772,-97.17898,61182,Westbound,John Angus Drive
Southbound Bairdmore at Southborough,49.77837,-97.16354,60897,Southbound,Bairdmore Boulevard
Eastbound John Angus at Brookstone,49.78812,-97.17487,61179,Eastbound,John Angus Drive
Westbound John Angus at Kingfisher,49.78826,-97.1752,61181,Westbound,John Angus Drive
Eastbound Sandusky at Bairdmore,49.78801,-97.17096,61180,Eastbound,Sandusky Drive
Northbound Bairdmore at Sandusky,49.78785,-97.17016,61020,Northbound,Bairdmore Boulevard
Southbound Bairdmore at Sandusky,49.7884,-97.17033,61013,Southbound,Bairdmore Boulevard
Westbound Kirkbridge at Allendale,49.78295,-97.1622,60683,Westbound,Kirkbridge Drive
Eastbound Kirkbridge at Allendale,49.78286,-97.16202,60742,Eastbound,Kirkbridge Drive
Westbound Kirkbridge at Brentlawn North,49.7851,-97.16312,60682,Westbound,Kirkbridge Drive
Eastbound Kirkbridge at Hawstead,49.78558,-97.16318,60743,Eastbound,Kirkbridge Drive
Westbound Grandmont at Lamirande,49.77112,-97.16465,60020,Westbound,Grandmont Boulevard
Eastbound Grandmont at Delorme West,49.77087,-97.16499,60760,Eastbound,Grandmont Boulevard
Westbound Grandmont at Le Maire,49.76989,-97.16731,60019,Westbound,Grandmont Boulevard
Eastbound Grandmont at le Maire,49.76985,-97.16703,60759,Eastbound,Grandmont Boulevard
Southbound Bairdmore at Calderwood West,49.79079,-97.16848,61012,Southbound,Bairdmore Boulevard
Northbound Bairdmore at Calderwood West,49.79082,-97.16796,61021,Northbound,Bairdmore Boulevard
Southbound Pembina at Dalhousie South,49.78129,-97.15708,60028,Southbound,Pembina Highway
Southbound Pembina at De Vos,49.77948,-97.15697,60026,Southbound,Pembina Highway
Eastbound Grandmont at Delorme East,49.77115,-97.16238,60761,Eastbound,Grandmont Boulevard
Northbound Pembina at De Vos,49.78015,-97.15657,60027,Northbound,Pembina Highway
Northbound Pembina at Dalhousie South,49.78211,-97.1567,60029,Northbound,Pembina Highway
Westbound Grandmont at Berard,49.77122,-97.16199,60021,Westbound,Grandmont Boulevard
Westbound Kirkbridge at Marrington,49.78818,-97.16099,60454,Westbound,Kirkbridge Drive
Eastbound Kirkbridge at Hillmartin,49.78806,-97.16062,60452,Eastbound,Kirkbridge Drive
Southbound Keslar at Bairdmore,49.79156,-97.16683,61146,Southbound,Keslar Road
Northbound Keslar at Bairdmore,49.79172,-97.16679,61145,Northbound,Keslar Road
Southbound Pembina at Newdale North,49.78609,-97.15737,60033,Southbound,Pembina Highway
Southbound Le Maire at la Porte,49.76809,-97.16635,60089,Southbound,Le Maire Street
Northbound Le Maire at la Porte,49.76813,-97.16616,60094,Northbound,Le Maire Street
Southbound Bairdmore at Calderwood East,49.79177,-97.16565,61011,Southbound,Bairdmore Boulevard
Northbound Bairdmore at Calderwood East,49.79187,-97.16492,61022,Northbound,Bairdmore Boulevard
Southbound Pembina at Cloutier South,49.77353,-97.15661,60058,Southbound,Pembina Highway
Northbound Pembina at Newdale North,49.78693,-97.15698,60032,Northbound,Pembina Highway
Northbound Pembina at Cloutier South,49.77347,-97.15621,60059,Northbound,Pembina Highway
Westbound Kirkbridge at Pembina West,49.78903,-97.15848,60425,Westbound,Kirkbridge Drive
Southbound Pembina at Killarney,49.7882,-97.1575,60034,Southbound,Pembina Highway
Westbound Grandmont at Pembina,49.77172,-97.15747,60022,Westbound,Grandmont Boulevard
Eastbound Kirkbridge at Pembina West,49.78893,-97.15807,60745,Eastbound,Kirkbridge Drive
Eastbound Grandmont at Pembina,49.77149,-97.15731,60762,Eastbound,Grandmont Boulevard
Westbound Joe Keeper at Ruth,49.7929,-97.18739,62103,Westbound,Joe Keeper Way
Northbound Bairdmore at Marrington,49.79256,-97.16288,61023,Northbound,Bairdmore Boulevard
Northbound Pembina at Killarney,49.78905,-97.15712,61104,Northbound,Pembina Highway
Southbound Bairdmore at Marrington,49.79265,-97.16303,61040,Southbound,Bairdmore Boulevard
Southbound Pembina at Grandmont,49.77104,-97.15694,62007,Southbound,Pembina Highway
Northbound Pembina at Grandmont,49.7713,-97.15653,62006,Northbound,Pembina Highway
Southbound Keslar at Wayfield,49.79482,-97.16946,61144,Southbound,Keslar Road
Southbound Baylor at Dalhousie,49.78366,-97.15248,60035,Southbound,Baylor Avenue
Northbound Keslar at Wayfield,49.79503,-97.16948,61143,Northbound,Keslar Road
Southbound Baylor at Leeds,49.78535,-97.15294,60661,Southbound,Baylor Avenue
Westbound Killarney at Pembina East,49.78963,-97.15658,60064,Westbound,Killarney Avenue
Southbound Dalhousie at Baylor,49.78365,-97.15202,60036,Southbound,Dalhousie Drive
Eastbound Killarney at Pembina East,49.7896,-97.15624,60063,Eastbound,Killarney Avenue
Northbound Baylor at Leeds,49.78554,-97.15274,60662,Northbound,Baylor Avenue
Westbound Ducharme at le Maire,49.76587,-97.16422,60758,Westbound,Ducharme Avenue
Westbound Ducharme at Houde,49.76734,-97.1606,60671,Westbound,Ducharme Avenue
Eastbound Ducharme at le Maire,49.76583,-97.16394,60017,Eastbound,Ducharme Avenue
Eastbound Ducharme at Houde,49.76727,-97.1604,60016,Eastbound,Ducharme Avenue
Westbound Ducharme at Villeneuve,49.7679,-97.15902,60014,Westbound,Ducharme Avenue
Eastbound Ducharme at Villeneuve,49.76785,-97.15872,60782,Eastbound,Ducharme Avenue
Southbound Baylor at Mount Allison,49.78789,-97.15295,60657,Southbound,Baylor Avenue
Northbound Baylor at Mount Allison,49.78761,-97.15266,60658,Northbound,Baylor Avenue
Northbound Pembina at Ducharme,49.76882,-97.15642,62005,Northbound,Pembina Highway
Southbound Baylor at Killarney,49.7898,-97.15451,60062,Southbound,Baylor Avenue
Southbound Frontier at Joe Keeper,49.79665,-97.18018,62102,Southbound,Frontier Trail
Northbound Frontier at Joe Keeper,49.79672,-97.18005,62100,Northbound,Frontier Trail
Northbound Baylor at Killarney,49.7899,-97.15438,60061,Northbound,Baylor Avenue
Southbound Pembina at Greencrest,49.79234,-97.15766,60065,Southbound,Pembina Highway
Eastbound Lee at Keslar,49.79641,-97.1689,61142,Eastbound,Lee Boulevard
Westbound Lee at Keslar,49.79647,-97.16915,61141,Westbound,Lee Boulevard
Westbound Killarney at Baylor,49.79026,-97.1547,60060,Westbound,Killarney Avenue
Southbound Pembina at Ducharme,49.76812,-97.15646,60805,Southbound,Pembina Highway
Eastbound Killarney at Baylor,49.7903,-97.15418,60157,Eastbound,Killarney Avenue
Northbound Pembina at Greencrest,49.7926,-97.15725,60066,Northbound,Pembina Highway
Southbound Bairdmore at Barnes,49.79419,-97.16008,61010,Southbound,Bairdmore Boulevard
Northbound Bairdmore at Firbridge,49.79407,-97.15979,61024,Northbound,Bairdmore Boulevard
Northbound Dalhousie at Ryerson,49.78601,-97.14708,60039,Northbound,Dalhousie Drive
Southbound Dalhousie at Nuffield,49.78598,-97.14732,60040,Southbound,Dalhousie Drive
Northbound Dalhousie at Rochester,49.78716,-97.14631,60041,Northbound,Dalhousie Drive
Southbound Dalhousie at Greyfriars,49.78792,-97.14606,60042,Southbound,Dalhousie Drive
Northbound Dalhousie at St. Edmund's,49.78899,-97.14515,60043,Northbound,Dalhousie Drive
Southbound Dalhousie at Selwyn,49.79001,-97.14472,60044,Southbound,Dalhousie Drive
Southbound Dalhousie at Radcliffe,49.79188,-97.14372,60046,Southbound,Dalhousie Drive
Eastbound Lemay at St. Pierre,49.76804,-97.14524,60750,Eastbound,Lemay Avenue
Eastbound Killarney at Caledon,49.79112,-97.15178,60158,Eastbound,Killarney Avenue
Westbound Killarney at Caledon,49.79113,-97.15215,60057,Westbound,Killarney Avenue
Eastbound Killarney at Acadia,49.79219,-97.14864,60159,Eastbound,Killarney Avenue
Northbound Dalhousie at St. Dunstan's,49.79257,-97.14386,60047,Northbound,Dalhousie Drive
Southbound St Pierre at St. Gabriel,49.76732,-97.14445,60751,Southbound,St Pierre Street
Westbound Killarney at Acadia,49.79243,-97.14834,60056,Westbound,Killarney Avenue
Westbound Killarney at Briar Cliff,49.79321,-97.14603,60053,Westbound,Killarney Avenue
Eastbound Killarney at Briar Cliff,49.79326,-97.14547,60160,Eastbound,Killarney Avenue
Eastbound Lemay at La Barriere,49.76696,-97.14832,60749,Eastbound,Lemay Avenue
Northbound Pembina at De La Digue,49.7667,-97.15466,62004,Northbound,Pembina Highway
