name,latitude,longitude,category
Tranquil Bay Park,49.77864371156357,-97.16594870734293,Park
Lavalee Park,49.84094561814142,-97.08962305130174,Park
John De Graff Park,49.92437495365062,-97.06263860150821,Park
Parc Branconnier,49.85467488191254,-97.3094696457897,Park
Beaumont School Park,49.85260515623228,-97.29915589102151,Park
Bannatyne Grove,49.86016089173199,-97.29454731599013,Park
Assiniboine Woods-Sanders Buffer,49.85921121709084,-97.29024073525784,Park
Oakleaf Park,49.82287401010172,-97.12818514294226,Park
Alumni Place Triangle,49.80247646293049,-97.16360752036772,Park
Dr. D. W. Penner School Grounds,49.823741421836615,-97.11105897111129,Park
Parc Hazelwood Park,49.824574360292154,-97.10844035196018,Park
Brentford Park,49.82738180562501,-97.09754212159216,Park
Meadowood Park,49.82937652940464,-97.10133217881663,Park
Bonavista Rail Line Buffer North,49.82611953761957,-97.06826356833297,Park
Fraser Meadow,49.84722548030771,-97.30172523519528,Park
Kennedy Street End,49.88259417467512,-97.1434034644106,Park
Marshall Crescent Park,49.83446888733138,-97.16111978283189,Park
Waller Park,49.837916669774735,-97.1554012317122,Park
Dickson Crescent Park,49.837287007594796,-97.16215702657011,Park
Bourkevale C.C,49.8746596001804,-97.22095578327625,Park
Fort Garry C.C-Victoria Site,49.84707095953189,-97.15944526751355,Park
Vermette Park Site,49.801872876224664,-97.06322191606544,Park
North Point Park,49.9638555621072,-97.12678249508183,Park
Jubinville Park,49.864488281421885,-97.07034711604766,Park
Glenn McWhinney Park,49.92857082135654,-97.09258260046201,Park
McLeod Park,49.93352332047969,-97.08502613750488,Park
Corinne Park,49.93273274737348,-97.07631940932797,Park
Ross Avenue Park,49.907323804064546,-97.15843005808469,Park
St. Mary's-St. Anne's Parkway,49.86400467440296,-97.11244527852065,Park
Glenwood C.C,49.86600126281058,-97.10769333225207,Park
Egerton-Clonard North Riverbank,49.86695665617877,-97.09995165315598,Park
Egerton-Clonard South Riverbank,49.86680235245627,-97.0986999856956,Park
Montrose Park,49.859072807739956,-97.18031380848576,Park
Wayoata Buffer-10,49.905295732459635,-96.98877711973422,Park
Wayoata Buffer-7,49.901654317259045,-96.98881179246557,Park
Ducharme Park,49.854073322224664,-97.09902342720699,Park
Harold Hatcher Park,49.90758225395633,-96.97632463484683,Park
Woodlands Park,49.877379361562525,-97.28078311988045,Park
Pebble Beach CPR Buffer North,49.85366912140741,-97.08334410491476,Park
Immaculate Heart Playground,49.91618357255902,-97.1523179860755,Park
Pandora Buffer East-1,49.893588163193186,-96.97985319520127,Park
Berkshire Park,49.8721777147871,-97.08996866515875,Park
Dave Abel Park,49.901620607061915,-96.98983954889776,Park
Lambert Park,49.88364183419436,-97.07408449064819,Park
Waterside Rotary Park,49.88156046794942,-97.03179028612388,Park
Archambault Park,49.918333903931284,-97.04263721639951,Park
Alexander Ross Athletic Fields,49.8944651745925,-97.32061562467993,Park
Transcona Retired Citizens Centre,49.89963224016296,-97.0099649178023,Park
Finestone Park,49.93651786098256,-97.21014963022074,Park
Kenaston - Abinojii Mikanah Buffer,49.81431043015758,-97.19417552525529,Park
Tuxedo Southwest Buffer,49.85717781893332,-97.21823427065996,Park
Higgins Greenspace,49.90199490753433,-97.12054104587203,Park
St. Boniface East Rail Line Buffer,49.88308941313356,-97.07264591692675,Park
Minnetonka Forest,49.81853353349293,-97.12389812150626,Park
South Lake Park,49.893816489715,-97.30713640346336,Park
Weinberg Tot Lot,49.94592020079032,-97.12149454640075,Park
Fairgrove Window Park,49.943446404393605,-97.2076315151536,Park
Theodore Niizhotay Fontaine Park,49.87641559105081,-97.20024241325049,Park
Pacific Junction Heritage Park,49.85075007407279,-97.25313032324556,Park
West Taylor Buffer-2,49.85041656117869,-97.21705191165742,Park
Gilia Tot Lot,49.94870254203522,-97.14986420333695,Park
Bernie Wolfe Park,49.890554025038945,-97.04632682925185,Park
Desrosiers Drive Buffer,49.8913015696543,-96.96116750581663,Park
Polson Bay Park-4,49.935211141402135,-97.15163389822214,Park
Spence Street End Park,49.881334859603825,-97.15443938249228,Park
West Kildonan Memorial C.C,49.937012716977726,-97.12650025103945,Park
Parkside Easement,49.87466030761529,-97.20899379796761,Park
Ambergate Park,49.96344228839561,-97.1662745346391,Park
Boni-Vital Greenway South C,49.79941161732949,-97.11764044629496,Park
Robert A. Steen Memorial C.C,49.87706575680049,-97.17321274985754,Park
Wildwood Greenspace,49.84918071621115,-97.14325309237569,Park
Lindenwoods Park,49.83492744483769,-97.18965920716123,Park
Red Spruce Park,49.79281107279873,-97.207890187715,Park
Tanya Park,49.92910251534235,-97.054829651114,Park
Enfield Park West,49.877077143233365,-97.12206030285647,Park
Linden Woods C.C,49.83586741776136,-97.19840141621876,Park
Dakota Crossing Buffer,49.80715159609889,-97.07689657474414,Park
Bondar Bay Tot Lot,49.95341216662243,-97.1813122719712,Park
Redonda Lane Walkway-4,49.90417059876724,-96.97989448348191,Park
Granite Grove Road Park,49.775188654484985,-97.2029027945606,Park
Keslar Pond Access North,49.796730935586375,-97.16690189875618,Park
Kilkenny Riverbank,49.78919175311047,-97.13615647774324,Park
Moug Park,49.86049967249096,-97.2873143074183,Park
John Shaley Tot Lot / Sinclair Park C.C,49.93083838156126,-97.15055352121213,Park
White Spruce Park,49.91006383975065,-97.05079045012963,Park
Disraeli Buffer South,49.90208192503416,-97.13123049785105,Park
Elmwood Park,49.918938019334085,-97.11650871608246,Park
Spence Tot Lot,49.89908583514679,-97.15381497975065,Park
Clyde Road Park,49.902000907773875,-97.07186589662412,Park
Dovercourt Park,49.82078099275935,-97.1915539200893,Park
South St. Vital Greenway-4,49.8129945248404,-97.09961384899009,Park
Bramwell Park,49.90688835103928,-96.9797015764983,Park
Chief Peguis Trail SE,49.94923156104041,-97.09379952387678,Park
Morier Park,49.8724064731434,-97.10215384120916,Park
Taras G. Shevchenko Park,49.919538366178976,-97.14732941404306,Park
Arrowwood Tot Lot,49.94479478823126,-97.15014454333696,Park
King's Park,49.797726001333636,-97.12365142772445,Park
Skyline Drive Park,49.77678152213945,-97.20953647472015,Park
Grace-Dewdney Park,49.901103765911586,-97.11492118070898,Park
Amber Trails Walk,49.96733047283908,-97.18413762086901,Park
Coleridge Park,49.86900699472224,-97.31146941571136,Park
Shaheed Bhagat Singh Park,49.787887442304935,-97.2112058653542,Park
Central Corydon C.C-Sir John Franklin Site,49.86623616463258,-97.19604906277053,Park
Elysian Field,49.893286124981685,-97.05236592318538,Park
Canoe Club Park,49.851467716271195,-97.12709583947661,Park
Kirkham Park,49.9653804897482,-97.08883491116823,Park
Degrave-Templeton Buffer East,49.95925423197959,-97.15148012675503,Park
Volunteer Park,49.93142643633603,-97.11369917154279,Park
Brightview Avenue Park,49.912165746484995,-96.974244360302,Park
Sage Creek-Sundog Park,49.8251466258193,-97.02971359873466,Park
Diamond-Rothesay Park,49.95201973914327,-97.06800532294233,Park
McGregor Park,49.93079016257502,-97.1366375223945,Park
William Marshall Park,49.87863130803658,-97.17873311389026,Park
Donwood Park,49.93886254466674,-97.0656199432694,Park
Edward Turner Drive Park,49.83623993085681,-97.03350468657712,Park
Pleasant Bay Park,49.93543319557837,-97.0906945037594,Park
Donald Riverbank West,49.873711563590696,-97.1394276845896,Park
Victor Valde Memorial Park / South Transcona C.C,49.88480511169995,-97.00096308519346,Park
Caron Park,49.87098292524151,-97.3212373796063,Park
Kildonan Meadows Park South,49.906832416087305,-97.02936321050207,Park
Crestwood Park,49.85740602094343,-97.08316326787384,Park
Tuxedo Southeast Buffer,49.85725123127601,-97.21444135585499,Park
Sandpiper Park West,49.77662319703296,-97.16623186822711,Park
Chornick Park,49.94604301452185,-97.0622565650827,Park
Disraeli Buffer-2,49.90627544980255,-97.12412735423332,Park
John Forsyth Park,49.80804370200503,-97.08619346826647,Park
Arthur Wright / Duval Park,49.95292862258607,-97.1876469826695,Park
Sage Creek-Warde Park,49.82735689649419,-97.03251164189739,Park
Lanark St-Bay H,49.850982119616155,-97.19957285750917,Park
Elmwood Winter Club,49.90996087385132,-97.11228223708349,Park
Waterford Green Trail Northwest,49.96274429954604,-97.19966447719041,Park
Carleton-Mandan Tot Lot,49.95725218267994,-97.16493465619473,Park
Oak Lawn Park,49.801870949323586,-97.1906980287535,Park
Norberry-Glenlee C.C-Walter Jennings Site,49.84130902282302,-97.09735156310542,Park
Yasmin Ali Crescent Walk North,49.79702891908511,-97.17467417968655,Park
Sir John Franklin Park East,49.87747637874544,-97.193800849634,Park
Belair Park,49.83292870984562,-97.15773924132658,Park
Champlain C.C,49.8758613287036,-97.11438735800446,Park
Wayoata Buffer-5,49.898791345376075,-96.98883354138627,Park
Jurkowski Memorial Park,49.89411020925961,-97.02412383596659,Park
Goodridge Park,49.899062094623666,-97.29091239558309,Park
Andrews Tot Lot,49.929951053766004,-97.1341551034732,Park
Tunngasugit Park,49.82689946908574,-97.06646802152933,Park
Awasisak Meskanôw Greenway,49.83352480787413,-97.10826320335775,Park
Robert Bockstael Drive Park,49.82401796641934,-97.03427783230346,Park
Marion Street Greenspace,49.882145874822044,-97.09560126143009,Park
Seine River Greenway-Nova Vista,49.82713850702211,-97.08212072934343,Park
Scouts Park,49.89407006064651,-97.007541947141,Park
Concordia Ave E-Reg Wyatt Path,49.91387969429021,-97.05220230500443,Park
Burland Park,49.801840217640915,-97.10635346857082,Park
John Steel Park,49.87299438610587,-97.2942248195098,Park
Robinson Park,49.911244466343774,-97.13858624409897,Park
Fermor Buffer Northeast,49.856453922524445,-97.07246313306071,Park
Slaw Rebchuk Monument,49.91187914689415,-97.14287101159738,Park
Parc Malala Park,49.798690119544425,-97.09920328125865,Park
Truro Creek Greenway-Albany East,49.882482719315476,-97.22471024594218,Park
Archibald Greenspace,49.89641739891032,-97.10608239493439,Park
Dunham Park,49.96359269487522,-97.18689602977422,Park
Boyd Park,49.929123122944056,-97.16431714924761,Park
Brad Little Park,49.89210326493294,-96.96376343693292,Park
Don Togo Park,49.87117847293549,-97.13736579046456,Park
Academy Road Park,49.874664181820435,-97.2004111897761,Park
Edgewater Park,49.84951617526303,-97.06744770150564,Park
Tallgrass Park,49.831051471673106,-97.04150327716086,Park
Lindsay Buffer Strip C,49.87275160432582,-97.19401942958835,Park
Vialoux Drive Park,49.8699457324387,-97.26181941420042,Park
Tanoak Tot Lot,49.947522414696515,-97.13412365201198,Park
Muriel Street Park,49.88559435645584,-97.29750575357787,Park
Wellington Stradbrook Buffer,49.875559565178676,-97.1501203379508,Park
Kirkfield-Westwood C.C,49.87676580858139,-97.30357453062742,Park
Seine River Greenway-Abinojii Mikanah,49.838294842490136,-97.0893079241227,Park
Carrigan Place Woodlot,49.79448397446091,-97.15350340471248,Park
Assiniboine Woods-Great Elm Buffer,49.85899591732699,-97.28898907874145,Park
River Osborne Wading Pool/Block Parents,49.87569390550679,-97.14397256781703,Park
Matthew Bay Park,49.95045481500511,-97.04935005856127,Park
Arlington Tot Lot,49.933199983328606,-97.14437901717925,Park
Mint Buffer,49.853190804539516,-97.06091969829015,Park
Dawson Road South Buffer,49.85297606082187,-97.0390858139901,Park
Wayoata Buffer-6,49.9012352438725,-96.98885812674834,Park
Lagimodière Gaboury Heritage Park,49.897448520581584,-97.11576016468143,Park
Woodsworth Park,49.927945806646605,-97.2027116786345,Park
Aster-Dahlia Park,49.93801152827725,-97.14852888298563,Park
Kelly Landing,49.8652510033008,-97.30474461121784,Park
Siddall / Werrell Park,49.92221504468479,-97.05746128336224,Park
East Elmwood C.C,49.907085507683725,-97.07177405154903,Park
Inksbrook Park,49.9487231195508,-97.22229609974102,Park
Linden Ridge Park,49.8216896594172,-97.18968843736657,Park
Kinsmen Legacy Park,49.906738215088595,-96.98545545796694,Park
Grant Avenue Greenspace-4,49.86471921955294,-97.1491831905737,Park
Frejuk Park,49.90489600944795,-96.98374881594535,Park
Mayfair Park East,49.883865393235205,-97.13698531847149,Park
Dove Bay Park,49.833879310258645,-97.14306292717224,Park
Bridgwater Park,49.80011854588143,-97.18843584267022,Park
Bois-des-esprits Extension,49.821126204915366,-97.07822056990285,Park
Alderman John O'Hare Park,49.906346170534746,-97.1457745562621,Park
West Taylor Buffer-3,49.85068151499333,-97.21444265149255,Park
East Elmwood Park,49.90451061483033,-97.07961878546811,Park
Charleswood Bridge North,49.872984446759006,-97.26358767312955,Park
Traverse Park,49.87826684754361,-97.11639019832407,Park
Omand's Creek Park North,49.927004621701876,-97.22652090088808,Park
Yale Avenue Playground,49.896463127887515,-97.01070677108144,Park
Omand's Creek Greenway-South,49.88316434081011,-97.19313464129289,Park
Paul Boulevard Park,49.775897538711966,-97.11609526038754,Park
Home Playground,49.89652960938,-97.16683524936437,Park
Lismer Green,49.85319919922608,-97.31223777615779,Park
Clifton Bay Park-1,49.89624657184449,-97.18557282882517,Park
Evesham Key Park,49.8460934098205,-97.26354831117956,Park
Ramona Gallos Way Park,49.96036086450388,-97.15393662764642,Park
Campion Tot Lot,49.91463160516365,-97.18808441587316,Park
Maple Grove Park,49.79304393190453,-97.12666070633901,Park
Essar Greenspace,49.94608961705419,-97.09210920246599,Park
Pacific Dee Park,49.92179562266272,-97.19990419011714,Park
Wayoata Buffer-8,49.902777086194256,-96.9888082865475,Park
Riddle-Strathcona Park,49.88405064606757,-97.19179547033282,Park
Sablewood-Bellflower Path,49.797267838978605,-97.20359354705444,Park
Parc Joseph Royal,49.8915574555319,-97.12618636496585,Park
Marion North Riverbank,49.882454452352064,-97.10488274480711,Park
Guay Park,49.86989952321905,-97.11282128769406,Park
Eau-Claire Park,49.8216399234991,-97.05700650808551,Park
Burrows-Cutler Greenspace,49.94117327039987,-97.21226010055271,Park
Optimist Park,49.910153546725205,-97.30906882605333,Park
Polson Bay Park-1,49.93766922313145,-97.15923673911531,Park
Seven Oaks Park & Museum,49.93060259604347,-97.11701771017331,Park
North Winnipeg Parkway-Louis Bakó River Landing,49.90140264242263,-97.12397220604527,Park
Grace Street Tot Lot,49.902096315636314,-97.1143431052894,Park
Heritage School Greenstrip,49.89066494131686,-97.28138423368588,Park
Heartstone Buffer,49.88783546696507,-97.03473965538241,Park
Uplands Crescent Park,49.894426002019934,-97.28175346131799,Park
Assiniboine Park,49.87441061819828,-97.23461164963634,Park
Barber-Rover Park,49.90851887977266,-97.12379581071164,Park
Lagimodiere Buffer-1,49.86721782911438,-97.06701558449788,Park
Hillbrook Walk,49.95905267014645,-97.21292984334697,Park
Beaverdam Creek Park,49.85920098324244,-97.30772499232967,Park
Tuxedo Grenfell Triangle,49.86704578472002,-97.21555373367379,Park
Blue Sun Park,49.83040455618993,-97.03533981569893,Park
Victoria Jason Park,49.89722054180543,-96.98010292363043,Park
Raleigh Park,49.93175450871219,-97.06939499228817,Park
S WPG Parkway,49.86951893744901,-97.13478523137965,Park
Amber Trails Path West,49.97038784425468,-97.17236427110953,Park
George Heshka Park,49.941940399726334,-97.20652164575533,Park
Rogan Drive Park,49.89438081143459,-97.29639466535774,Park
Headmaster-Sunny Morning Park,49.94620691356699,-97.04245504967143,Park
Fairgrove Bay Park,49.94480387994935,-97.21023051192822,Park
Prairie Oaks Park,49.867238076421614,-97.33791767817495,Park
Thelma J. Call Park,49.81017943917545,-97.16633830807591,Park
South St. Vital Greenway-9,49.818506075827884,-97.08352114652986,Park
Ogimaa Gichi Makwa Gitigaan,49.89562851807696,-97.15818080720275,Park
Kellas Park,49.94732397121947,-97.07310728901828,Park
Edward Shindleman Park,49.84744000593387,-97.22570101233957,Park
Tache Promenade,49.886900108343575,-97.12560316315269,Park
Frog Plain Park,49.95487663302528,-97.10455407478743,Park
Gauvin Park,49.872774420503,-97.11932737049403,Park
Don Smith Park,49.8087047216459,-97.21343505389422,Park
Thomas F. Copeland Memorial Park,49.907552613125745,-97.00879484502616,Park
Lakebourne-Bitterfield Park,49.968141688086625,-97.18339717332672,Park
Sturgeon Road Athletic Field,49.89625305764193,-97.28280386092707,Park
Rover-Grove Buffer,49.90903338779301,-97.12459914149407,Park
Lakewood Park,49.851065910665376,-97.06898908471847,Park
Dunkirk-Glen Buffer,49.84906258142494,-97.11864985943387,Park
Manchester Park East,49.84644636774324,-97.13508985616262,Park
